_date,total_views,unique_views
2021-06-25,4,4
2021-07-03,13,1
2021-07-14,1,1
2021-08-04,1,1
2021-08-12,3,1
2021-08-13,21,1
2021-09-08,1,1
2021-09-21,65,1
2021-11-01,2,1
2021-11-05,1,1
2021-12-10,1,1
2021-12-17,1,1
2021-12-19,3,1
2021-12-20,1,1
2022-01-24,1,1
2022-02-06,1,1
2022-02-21,1,1
2022-02-27,1,1
2022-03-15,5,1
2022-03-20,1,1
2022-03-25,1,1
2022-03-26,5,1
2022-04-09,2,1
2022-04-13,2,1
2022-04-18,1,1
2022-05-04,1,1
2022-05-05,1,1
2022-05-09,8,2
2022-05-13,1,1
2022-06-02,1,1
2022-06-09,1,1
2022-06-28,6,1
2022-07-03,1,1
2022-07-06,1,1
2022-07-10,6,2
2022-07-12,3,1
2022-07-13,1,1
2022-07-28,3,2
2022-08-25,1,1
2022-09-21,3,2
2022-09-22,1,1
2022-09-26,1,1
2022-10-11,1,1
2022-10-17,1,1
2022-10-27,1,1
2022-11-04,3,1
2022-11-10,1,1
2022-11-23,1,1
2022-12-11,3,1
2022-12-17,1,1
2022-12-24,1,1
2022-12-28,13,1
2023-03-18,1,1
2023-04-09,1,1
2023-04-11,2,2
2023-04-14,2,2
2023-04-15,3,3
2023-04-16,1,1
2023-04-17,1,1
2023-05-03,1,1
2023-05-29,3,1
2023-07-08,1,1
2023-07-10,1,1
2023-08-03,2,2
2023-08-11,2,1
2023-08-12,9,3
2023-08-13,7,4
2023-08-14,6,4
2023-08-16,4,2
2023-08-17,3,1
2023-08-18,3,2
2023-09-08,4,1
2023-09-16,9,1
2023-09-20,1,1
2023-10-22,1,1
2023-10-27,4,1
2023-11-20,6,1
2023-11-27,1,1
2023-12-30,5,1
2024-01-02,1,1
2024-01-15,4,2
2024-01-16,2,2
2024-02-05,1,1
2024-02-19,6,2
2024-02-20,6,2
2024-02-21,1,1
2024-02-24,1,1
2024-02-25,4,2
2024-02-26,13,3
2024-02-27,4,2
2024-02-28,4,2
2024-03-01,1,1
2024-03-02,2,1
2024-03-03,2,2
2024-03-05,2,2
2024-03-07,5,3
2024-03-11,4,2
2024-03-18,2,2
2024-03-20,4,2
2024-03-22,4,2
2024-03-23,3,2
2024-03-24,2,2
2024-03-25,1,1
2024-03-26,2,2
2024-04-02,1,1
2024-04-05,6,3
2024-04-07,2,2
2024-04-11,3,1
2024-04-16,3,2
2024-04-17,3,1
2024-04-18,2,2
2024-04-23,6,2
2024-04-28,3,1
2024-05-23,4,2
2024-05-31,3,1
2024-06-04,4,1
2024-06-05,1,1
2024-06-20,2,1
2024-06-27,122,6
2024-07-05,2,1
2024-07-11,2,2
2024-07-22,1,1
2024-08-05,2,1
2024-08-07,1,1
2024-08-09,1,1
2024-08-11,1,1
2024-08-12,4,2
2024-08-14,3,1
2024-08-17,1,1
2024-08-19,2,1
2024-08-21,2,1
2024-08-30,2,1
2024-09-10,2,1
2024-09-21,1,1
2024-10-04,1,1
2024-10-07,1,1
2024-10-08,1,1
2024-10-09,1,1
2024-10-28,1,1
2024-10-29,1,1
2024-10-31,1,1
2024-11-04,1,1
2024-11-06,1,1
2024-12-20,1,1
2024-12-21,1,1
2024-12-23,2,2
2025-01-04,1,1
2025-01-06,1,1
2025-01-17,1,1
2025-01-25,1,1
2025-01-26,1,1
2025-02-02,1,1
2025-02-03,1,1
2025-02-09,1,1
2025-02-13,1,1
2025-03-04,1,1
2025-03-09,2,1
2025-03-10,1,1
2025-03-12,1,1
2025-03-19,1,1
2025-03-23,1,1
2025-04-04,1,1
2025-04-15,1,1
2025-04-22,3,1
2025-05-09,1,1
2025-05-13,1,1
2025-05-25,1,1
2025-06-27,1,1
2025-06-30,1,1
2025-07-25,1,1
2025-08-14,1,1
2025-08-16,16,7
2025-08-17,35,9
2025-08-18,39,9
2025-08-20,2,2
2025-08-24,6,6
2025-08-25,1,1
2025-08-26,1,1
2025-08-27,1,1
2025-09-11,2,2
2025-09-12,2,2
2025-09-13,4,4
2025-09-14,1,1
2025-09-15,1,1
2025-09-16,3,3
2025-09-17,2,2
2025-09-20,2,2
2025-09-21,1,1
2025-09-22,1,1
2025-09-23,2,2
2025-09-25,2,2
2025-09-26,1,1
2025-09-27,3,3
2025-09-28,2,2
2025-09-29,3,3
2025-09-30,2,2
2025-10-02,3,3
2025-10-03,1,1
2025-10-04,1,1
